"Študenti terciarnega izobraževanja po podroèju izobraževanja (KLASIUS-P-16, 1. raven), spolu, naèinu študija in vrsti izobraževanja, Slovenija, letno"

"VRSTA IZOBRAŽEVANJA";"NAÈIN ŠTUDIJA";"PODROÈJE IZOBRAŽEVANJA (KLASIUS-P-16)";"2017/18 Spol - SKUPAJ";"2017/18 Moški";"2017/18 Ženske";"2018/19 Spol - SKUPAJ";"2018/19 Moški";"2018/19 Ženske";"2019/20 Spol - SKUPAJ";"2019/20 Moški";"2019/20 Ženske";"2020/21 Spol - SKUPAJ";"2020/21 Moški";"2020/21 Ženske"
"Visokošolsko strokovno (1. bolonjska stopnja)";"Izredni";"Podroèje izobraževanja - SKUPAJ";6731.0;2507.0;4224.0;6695.0;2421.0;4274.0;7129.0;2573.0;4556.0;8163.0;2853.0;5310.0
"Visokošolsko strokovno (1. bolonjska stopnja)";"Izredni";"01 Izobraževalne znanosti in izobraževanje uèiteljev";1013.0;64.0;949.0;966.0;54.0;912.0;987.0;63.0;924.0;1058.0;70.0;988.0
"Visokošolsko strokovno (1. bolonjska stopnja)";"Izredni";"02 Umetnost in humanistika";229.0;55.0;174.0;242.0;57.0;185.0;257.0;62.0;195.0;284.0;70.0;214.0
"Visokošolsko strokovno (1. bolonjska stopnja)";"Izredni";"03 Družbene vede, novinarstvo in informacijska znanost";219.0;94.0;125.0;245.0;93.0;152.0;279.0;92.0;187.0;334.0;95.0;239.0
"Visokošolsko strokovno (1. bolonjska stopnja)";"Izredni";"04 Poslovne in upravne vede, pravo";2100.0;911.0;1189.0;2001.0;853.0;1148.0;2209.0;975.0;1234.0;2475.0;1065.0;1410.0
"Visokošolsko strokovno (1. bolonjska stopnja)";"Izredni";"05 Naravoslovje, matematika in statistika";6.0;3.0;3.0;3.0;1.0;2.0;1.0;1.0;-;-;-;-
"Visokošolsko strokovno (1. bolonjska stopnja)";"Izredni";"06 Informacijske in komunikacijske tehnologije (IKT)";63.0;57.0;6.0;76.0;70.0;6.0;77.0;71.0;6.0;107.0;93.0;14.0
"Visokošolsko strokovno (1. bolonjska stopnja)";"Izredni";"07 Tehnika, proizvodne tehnologije in gradbeništvo";348.0;293.0;55.0;367.0;305.0;62.0;365.0;302.0;63.0;378.0;309.0;69.0
"Visokošolsko strokovno (1. bolonjska stopnja)";"Izredni";"08 Kmetijstvo, gozdarstvo, ribištvo in veterinarstvo";23.0;10.0;13.0;19.0;8.0;11.0;10.0;6.0;4.0;6.0;2.0;4.0
"Visokošolsko strokovno (1. bolonjska stopnja)";"Izredni";"09 Zdravstvo in socialna varnost";2107.0;680.0;1427.0;2154.0;649.0;1505.0;2253.0;653.0;1600.0;2775.0;761.0;2014.0
"Visokošolsko strokovno (1. bolonjska stopnja)";"Izredni";"10 Transport, varnost, gostinstvo in turizem, osebne storitve";623.0;340.0;283.0;622.0;331.0;291.0;691.0;348.0;343.0;746.0;388.0;358.0
"Visokošolsko univerzitetno (1. bolonjska stopnja)";"Redni";"Podroèje izobraževanja - SKUPAJ";21609.0;8497.0;13112.0;21445.0;8377.0;13068.0;21414.0;8448.0;12966.0;23077.0;9023.0;14054.0
"Visokošolsko univerzitetno (1. bolonjska stopnja)";"Redni";"01 Izobraževalne znanosti in izobraževanje uèiteljev";2632.5;383.0;2249.5;2541.5;363.5;2178.0;2465.5;348.0;2117.5;2587.0;409.5;2177.5
"Visokošolsko univerzitetno (1. bolonjska stopnja)";"Redni";"02 Umetnost in humanistika";3259.0;941.5;2317.5;3217.0;891.5;2325.5;3060.0;864.0;2196.0;3373.5;947.0;2426.5
"Visokošolsko univerzitetno (1. bolonjska stopnja)";"Redni";"03 Družbene vede, novinarstvo in informacijska znanost";4098.0;1370.0;2728.0;4148.0;1401.0;2747.0;4223.0;1425.0;2798.0;4571.5;1517.5;3054.0
"Visokošolsko univerzitetno (1. bolonjska stopnja)";"Redni";"04 Poslovne in upravne vede, pravo";2280.0;785.0;1495.0;2277.0;750.0;1527.0;2189.0;733.0;1456.0;2422.0;825.0;1597.0
"Visokošolsko univerzitetno (1. bolonjska stopnja)";"Redni";"05 Naravoslovje, matematika in statistika";2671.0;1059.5;1611.5;2650.5;1083.0;1567.5;2721.5;1126.0;1595.5;2928.0;1205.0;1723.0
"Visokošolsko univerzitetno (1. bolonjska stopnja)";"Redni";"06 Informacijske in komunikacijske tehnologije (IKT)";1263.5;1011.0;252.5;1347.0;1057.0;290.0;1548.0;1185.0;363.0;1731.0;1298.0;433.0
"Visokošolsko univerzitetno (1. bolonjska stopnja)";"Redni";"07 Tehnika, proizvodne tehnologije in gradbeništvo";3233.0;2278.0;955.0;3152.0;2195.0;957.0;3112.0;2151.0;961.0;3162.0;2140.0;1022.0
